RCDT Code,District Name,Local Affiliation
26034316026,Warsaw CUSD 316,IEA-NEA
26034317004,Carthage ESD 317,IEA-NEA
26034325026,Nauvoo-Colusa CUSD 325,IEA-NEA
26034327004,Dallas ESD 327,IEA-NEA
26034328024,Hamilton CCSD 328,IFT-AFT
26034337026,Southeastern CUSD 337,IEA-NEA
26034347004,La Harpe CSD 347,IEA-NEA
26062000061,West Central IL Spec Educ Coop,IEA-NEA
26062103026,West Prairie CUSD 103,IEA-NEA
26062170026,Bushnell Prairie City CUSD 170,IEA-NEA
26062185026,Macomb CUSD 185,IEA-NEA
26085005026,Schuyler-Industry CUSD 5,IEA-NEA
28006017004,Ohio CCSD 17,IFT-AFT
28006084004,Malden CCSD 84,IFT-AFT
28006094004,Ladd CCSD 94,IEA-NEA
28006098002,Dalzell SD 98,NULL
28006099004,Spring Valley CCSD 99,IFT-AFT
28006103022,DePue USD 103,IFT-AFT
28006115002,Princeton ESD 115,IFT-AFT
28006303026,La Moille CUSD 303,IFT-AFT
28006340026,Bureau Valley CUSD 340,IEA-NEA
28006500015,Princeton HSD 500,IEA-NEA
28006502017,Hall HSD 502,IEA-NEA
28006505016,Ohio CHSD 505,IFT-AFT
28037190002,Colona SD 190,IEA-NEA
28037223026,Orion CUSD 223,IEA-NEA
28037224026,Galva CUSD 224,IEA-NEA
28037225026,AlWood CUSD 225,IEA-NEA
28037226026,Annawan CUSD 226,IEA-NEA
28037227026,Cambridge CUSD 227,IEA-NEA
28037228026,Geneseo CUSD 228,IEA-NEA
28037229026,Kewanee CUSD 229,IEA-NEA
28037230026,Wethersfield CUSD 230,IEA-NEA
28037801060,Henry-Stark County Spec Ed Dist,IEA-NEA
28088100026,Stark County CUSD 100,IEA-NEA
30002001022,Cairo USD 1,IEA-NEA
30002005026,Egyptian CUSD 5,IEA-NEA
30002748040,Five County Reg Voc Center,NULL
30002748045,Five County Reg Voc System,NULL
30039086003,DeSoto Cons SD 86,IEA-NEA
30039095002,Carbondale ESD 95,IEA-NEA
30039130004,Giant City CCSD 130,IEA-NEA
30039140004,Unity Point CCSD 140,IEA-NEA
30039165016,Carbondale CHSD 165,IEA-NEA
30039176026,Trico CUSD 176,IEA-NEA
30039186026,Murphysboro CUSD 186,IEA-NEA
30039186061,Tri-County Sp Ed Jnt Agreement,IEA-NEA
30039196026,Elverado CUSD 196,IEA-NEA
30073005002,Tamaroa School Dist 5,IEA-NEA
30073050002,Pinckneyville SD 50,IEA-NEA
30073101016,Pinckneyville CHSD 101,IEA-NEA
30073204004,CCSD 204,IEA-NEA
30073300026,Du Quoin CUSD 300,IEA-NEA
30077100026,Century CUSD 100,IFT-AFT
30077801060,Jamp Spec Educ Services,IEA-NEA
30091016004,Lick Creek CCSD 16,IEA-NEA
30091037004,Anna CCSD 37,IEA-NEA
30091043004,County of Union Sch Dist No43,IEA-NEA
30091066022,Dongola USD 66,IEA-NEA
30091081016,Anna Jonesboro CHSD 81,IEA-NEA
30091084026,Shawnee CUSD 84,IEA-NEA
31045046022,SD U-46,IEA-NEA
31045101022,Batavia USD 101,IEA-NEA
31045129022,Aurora West USD 129,IEA-NEA
31045131022,Aurora East USD 131,IFT-AFT
31045300026,CUSD 300,IEA-NEA
31045301026,Central CUSD 301,IEA-NEA
31045302026,Kaneland CUSD 302,IEA-NEA
31045302041,Fox Valley Career Center,IEA-NEA
31045303026,St Charles CUSD 303,IEA-NEA
31045303061,Mid-Valley Special Ed Coop,IEA-NEA
31045304026,Geneva CUSD 304,IEA-NEA
31045900025,Elgin Math and Science Acad Chtr,NULL
32000000040,Kankakee Area Career Center,IEA-NEA
32038003026,Donovan CUSD 3,IEA-NEA
32038004026,Central CUSD 4,IFT-AFT
32038006026,Cissna Park CUSD 6,IEA-NEA
32038009026,Iroquois County CUSD 9,IEA-NEA
32038010026,Iroquois West CUSD 10,IFT-AFT
